bytes,jafont,lead_hex,slot_hex,slot_decimal,row_1based,column_1based,unicode,char,source_glyph,notes
C3 1E,jafont_10.tex,C3,1E,30,2,15,U+B51C,딜,hangulfont_3.tex.png:29,exact ff7K(PC).tbl byte position
C3 20,jafont_10.tex,C3,20,32,3,1,U+B524,딤,hangulfont_3.tex.png:2A,exact ff7K(PC).tbl byte position
C3 21,jafont_10.tex,C3,21,33,3,2,U+B525,딥,hangulfont_3.tex.png:2B,exact ff7K(PC).tbl byte position
C3 22,jafont_10.tex,C3,22,34,3,3,U+B527,딧,hangulfont_3.tex.png:2C,exact ff7K(PC).tbl byte position
C3 23,jafont_10.tex,C3,23,35,3,4,U+B528,딨,hangulfont_3.tex.png:2D,exact ff7K(PC).tbl byte position
C3 24,jafont_10.tex,C3,24,36,3,5,U+B529,딩,hangulfont_3.tex.png:2E,exact ff7K(PC).tbl byte position
C3 25,jafont_10.tex,C3,25,37,3,6,U+B52A,딪,hangulfont_3.tex.png:2F,exact ff7K(PC).tbl byte position
C3 26,jafont_10.tex,C3,26,38,3,7,U+B530,따,hangulfont_3.tex.png:30,exact ff7K(PC).tbl byte position
C3 27,jafont_10.tex,C3,27,39,3,8,U+B531,딱,hangulfont_3.tex.png:31,exact ff7K(PC).tbl byte position
C3 28,jafont_10.tex,C3,28,40,3,9,U+B534,딴,hangulfont_3.tex.png:32,exact ff7K(PC).tbl byte position
C3 29,jafont_10.tex,C3,29,41,3,10,U+B538,딸,hangulfont_3.tex.png:33,exact ff7K(PC).tbl byte position
C3 2A,jafont_10.tex,C3,2A,42,3,11,U+B540,땀,hangulfont_3.tex.png:34,exact ff7K(PC).tbl byte position
C3 2B,jafont_10.tex,C3,2B,43,3,12,U+B541,땁,hangulfont_3.tex.png:35,exact ff7K(PC).tbl byte position
C3 2C,jafont_10.tex,C3,2C,44,3,13,U+B543,땃,hangulfont_3.tex.png:36,exact ff7K(PC).tbl byte position
C3 2D,jafont_10.tex,C3,2D,45,3,14,U+B544,땄,hangulfont_3.tex.png:37,exact ff7K(PC).tbl byte position
C3 2E,jafont_10.tex,C3,2E,46,3,15,U+B545,땅,hangulfont_3.tex.png:38,exact ff7K(PC).tbl byte position
C3 2F,jafont_10.tex,C3,2F,47,3,16,U+B54B,땋,hangulfont_3.tex.png:39,exact ff7K(PC).tbl byte position
C3 30,jafont_10.tex,C3,30,48,4,1,U+B54C,때,hangulfont_3.tex.png:3A,exact ff7K(PC).tbl byte position
C3 31,jafont_10.tex,C3,31,49,4,2,U+B54D,땍,hangulfont_3.tex.png:3B,exact ff7K(PC).tbl byte position
C3 32,jafont_10.tex,C3,32,50,4,3,U+B550,땐,hangulfont_3.tex.png:3C,exact ff7K(PC).tbl byte position
C3 33,jafont_10.tex,C3,33,51,4,4,U+B554,땔,hangulfont_3.tex.png:3D,exact ff7K(PC).tbl byte position
C3 35,jafont_10.tex,C3,35,53,4,6,U+B55C,땜,hangulfont_3.tex.png:3E,exact ff7K(PC).tbl byte position
C3 36,jafont_10.tex,C3,36,54,4,7,U+B55D,땝,hangulfont_3.tex.png:3F,exact ff7K(PC).tbl byte position
C3 37,jafont_10.tex,C3,37,55,4,8,U+B55F,땟,hangulfont_3.tex.png:40,exact ff7K(PC).tbl byte position
C3 38,jafont_10.tex,C3,38,56,4,9,U+B560,땠,hangulfont_3.tex.png:41,exact ff7K(PC).tbl byte position
C3 39,jafont_10.tex,C3,39,57,4,10,U+B561,땡,hangulfont_3.tex.png:42,exact ff7K(PC).tbl byte position
C3 3A,jafont_10.tex,C3,3A,58,4,11,U+B5A0,떠,hangulfont_3.tex.png:43,exact ff7K(PC).tbl byte position
C3 3B,jafont_10.tex,C3,3B,59,4,12,U+B5A1,떡,hangulfont_3.tex.png:44,exact ff7K(PC).tbl byte position
C3 3C,jafont_10.tex,C3,3C,60,4,13,U+B5A4,떤,hangulfont_3.tex.png:45,exact ff7K(PC).tbl byte position
C3 3D,jafont_10.tex,C3,3D,61,4,14,U+B5A8,떨,hangulfont_3.tex.png:46,exact ff7K(PC).tbl byte position
C3 3E,jafont_10.tex,C3,3E,62,4,15,U+B5AA,떪,hangulfont_3.tex.png:47,exact ff7K(PC).tbl byte position
C3 3F,jafont_10.tex,C3,3F,63,4,16,U+B5AB,떫,hangulfont_3.tex.png:48,exact ff7K(PC).tbl byte position
C3 40,jafont_10.tex,C3,40,64,5,1,U+B5B0,떰,hangulfont_3.tex.png:49,exact ff7K(PC).tbl byte position
C3 41,jafont_10.tex,C3,41,65,5,2,U+B5B1,떱,hangulfont_3.tex.png:4A,exact ff7K(PC).tbl byte position
C3 42,jafont_10.tex,C3,42,66,5,3,U+B5B3,떳,hangulfont_3.tex.png:4B,exact ff7K(PC).tbl byte position
C3 43,jafont_10.tex,C3,43,67,5,4,U+B5B4,떴,hangulfont_3.tex.png:4C,exact ff7K(PC).tbl byte position
C3 44,jafont_10.tex,C3,44,68,5,5,U+B5B5,떵,hangulfont_3.tex.png:4D,exact ff7K(PC).tbl byte position
C3 45,jafont_10.tex,C3,45,69,5,6,U+B5BB,떻,hangulfont_3.tex.png:4E,exact ff7K(PC).tbl byte position
C3 46,jafont_10.tex,C3,46,70,5,7,U+B5BC,떼,hangulfont_3.tex.png:4F,exact ff7K(PC).tbl byte position
C3 47,jafont_10.tex,C3,47,71,5,8,U+B5BD,떽,hangulfont_3.tex.png:50,exact ff7K(PC).tbl byte position
C3 48,jafont_10.tex,C3,48,72,5,9,U+B5C0,뗀,hangulfont_3.tex.png:51,exact ff7K(PC).tbl byte position
C3 4A,jafont_10.tex,C3,4A,74,5,11,U+B5C4,뗄,hangulfont_3.tex.png:52,exact ff7K(PC).tbl byte position
C3 4B,jafont_10.tex,C3,4B,75,5,12,U+B5CC,뗌,hangulfont_3.tex.png:53,exact ff7K(PC).tbl byte position
C3 4C,jafont_10.tex,C3,4C,76,5,13,U+B5CD,뗍,hangulfont_3.tex.png:54,exact ff7K(PC).tbl byte position
C3 4D,jafont_10.tex,C3,4D,77,5,14,U+B5CF,뗏,hangulfont_3.tex.png:55,exact ff7K(PC).tbl byte position
C3 4E,jafont_10.tex,C3,4E,78,5,15,U+B5D0,뗐,hangulfont_3.tex.png:56,exact ff7K(PC).tbl byte position
C3 4F,jafont_10.tex,C3,4F,79,5,16,U+B5D1,뗑,hangulfont_3.tex.png:57,exact ff7K(PC).tbl byte position
C3 50,jafont_10.tex,C3,50,80,6,1,U+B5D8,뗘,hangulfont_3.tex.png:58,exact ff7K(PC).tbl byte position
C3 51,jafont_10.tex,C3,51,81,6,2,U+B5EC,뗬,hangulfont_3.tex.png:59,exact ff7K(PC).tbl byte position
C3 52,jafont_10.tex,C3,52,82,6,3,U+B610,또,hangulfont_3.tex.png:5A,exact ff7K(PC).tbl byte position
C3 53,jafont_10.tex,C3,53,83,6,4,U+B611,똑,hangulfont_3.tex.png:5B,exact ff7K(PC).tbl byte position
C3 54,jafont_10.tex,C3,54,84,6,5,U+B614,똔,hangulfont_3.tex.png:5C,exact ff7K(PC).tbl byte position
C3 55,jafont_10.tex,C3,55,85,6,6,U+B618,똘,hangulfont_3.tex.png:5D,exact ff7K(PC).tbl byte position
C3 56,jafont_10.tex,C3,56,86,6,7,U+B625,똥,hangulfont_3.tex.png:5E,exact ff7K(PC).tbl byte position
C3 57,jafont_10.tex,C3,57,87,6,8,U+B62C,똬,hangulfont_3.tex.png:5F,exact ff7K(PC).tbl byte position
C3 58,jafont_10.tex,C3,58,88,6,9,U+B634,똴,hangulfont_3.tex.png:60,exact ff7K(PC).tbl byte position
C3 59,jafont_10.tex,C3,59,89,6,10,U+B648,뙈,hangulfont_3.tex.png:61,exact ff7K(PC).tbl byte position
C3 5A,jafont_10.tex,C3,5A,90,6,11,U+B664,뙤,hangulfont_3.tex.png:62,exact ff7K(PC).tbl byte position
C3 5B,jafont_10.tex,C3,5B,91,6,12,U+B668,뙨,hangulfont_3.tex.png:63,exact ff7K(PC).tbl byte position
C3 5C,jafont_10.tex,C3,5C,92,6,13,U+B69C,뚜,hangulfont_3.tex.png:64,exact ff7K(PC).tbl byte position
C3 5D,jafont_10.tex,C3,5D,93,6,14,U+B69D,뚝,hangulfont_3.tex.png:65,exact ff7K(PC).tbl byte position
C3 5F,jafont_10.tex,C3,5F,95,6,16,U+B6A0,뚠,hangulfont_3.tex.png:66,exact ff7K(PC).tbl byte position
C3 60,jafont_10.tex,C3,60,96,7,1,U+B6A4,뚤,hangulfont_3.tex.png:67,exact ff7K(PC).tbl byte position
C3 61,jafont_10.tex,C3,61,97,7,2,U+B6AB,뚫,hangulfont_3.tex.png:68,exact ff7K(PC).tbl byte position
C3 62,jafont_10.tex,C3,62,98,7,3,U+B6AC,뚬,hangulfont_3.tex.png:69,exact ff7K(PC).tbl byte position
C3 63,jafont_10.tex,C3,63,99,7,4,U+B6B1,뚱,hangulfont_3.tex.png:6A,exact ff7K(PC).tbl byte position
C3 64,jafont_10.tex,C3,64,100,7,5,U+B6D4,뛔,hangulfont_3.tex.png:6B,exact ff7K(PC).tbl byte position
C3 65,jafont_10.tex,C3,65,101,7,6,U+B6F0,뛰,hangulfont_3.tex.png:6C,exact ff7K(PC).tbl byte position
C3 66,jafont_10.tex,C3,66,102,7,7,U+B6F4,뛴,hangulfont_3.tex.png:6D,exact ff7K(PC).tbl byte position
C3 67,jafont_10.tex,C3,67,103,7,8,U+B6F8,뛸,hangulfont_3.tex.png:6E,exact ff7K(PC).tbl byte position
C3 68,jafont_10.tex,C3,68,104,7,9,U+B700,뜀,hangulfont_3.tex.png:6F,exact ff7K(PC).tbl byte position
C3 69,jafont_10.tex,C3,69,105,7,10,U+B701,뜁,hangulfont_3.tex.png:70,exact ff7K(PC).tbl byte position
C3 6A,jafont_10.tex,C3,6A,106,7,11,U+B705,뜅,hangulfont_3.tex.png:71,exact ff7K(PC).tbl byte position
C3 6B,jafont_10.tex,C3,6B,107,7,12,U+B728,뜨,hangulfont_3.tex.png:72,exact ff7K(PC).tbl byte position
C3 6C,jafont_10.tex,C3,6C,108,7,13,U+B729,뜩,hangulfont_3.tex.png:73,exact ff7K(PC).tbl byte position
C3 6D,jafont_10.tex,C3,6D,109,7,14,U+B72C,뜬,hangulfont_3.tex.png:74,exact ff7K(PC).tbl byte position
C3 6E,jafont_10.tex,C3,6E,110,7,15,U+B72F,뜯,hangulfont_3.tex.png:75,exact ff7K(PC).tbl byte position
C3 6F,jafont_10.tex,C3,6F,111,7,16,U+B730,뜰,hangulfont_3.tex.png:76,exact ff7K(PC).tbl byte position
C3 70,jafont_10.tex,C3,70,112,8,1,U+B738,뜸,hangulfont_3.tex.png:77,exact ff7K(PC).tbl byte position
C3 71,jafont_10.tex,C3,71,113,8,2,U+B739,뜹,hangulfont_3.tex.png:78,exact ff7K(PC).tbl byte position
C3 72,jafont_10.tex,C3,72,114,8,3,U+B73B,뜻,hangulfont_3.tex.png:79,exact ff7K(PC).tbl byte position
C3 74,jafont_10.tex,C3,74,116,8,5,U+B744,띄,hangulfont_3.tex.png:7A,exact ff7K(PC).tbl byte position
C3 75,jafont_10.tex,C3,75,117,8,6,U+B748,띈,hangulfont_3.tex.png:7B,exact ff7K(PC).tbl byte position
C3 76,jafont_10.tex,C3,76,118,8,7,U+B74C,띌,hangulfont_3.tex.png:7C,exact ff7K(PC).tbl byte position
C3 77,jafont_10.tex,C3,77,119,8,8,U+B754,띔,hangulfont_3.tex.png:7D,exact ff7K(PC).tbl byte position
C3 78,jafont_10.tex,C3,78,120,8,9,U+B755,띕,hangulfont_3.tex.png:7E,exact ff7K(PC).tbl byte position
C3 79,jafont_10.tex,C3,79,121,8,10,U+B760,띠,hangulfont_3.tex.png:7F,exact ff7K(PC).tbl byte position
C3 7A,jafont_10.tex,C3,7A,122,8,11,U+B764,띤,hangulfont_3.tex.png:80,exact ff7K(PC).tbl byte position
C3 7B,jafont_10.tex,C3,7B,123,8,12,U+B768,띨,hangulfont_3.tex.png:81,exact ff7K(PC).tbl byte position
C3 7C,jafont_10.tex,C3,7C,124,8,13,U+B770,띰,hangulfont_3.tex.png:82,exact ff7K(PC).tbl byte position
C3 7D,jafont_10.tex,C3,7D,125,8,14,U+B771,띱,hangulfont_3.tex.png:83,exact ff7K(PC).tbl byte position
C3 7E,jafont_10.tex,C3,7E,126,8,15,U+B773,띳,hangulfont_3.tex.png:84,exact ff7K(PC).tbl byte position
C3 7F,jafont_10.tex,C3,7F,127,8,16,U+B775,띵,hangulfont_3.tex.png:85,exact ff7K(PC).tbl byte position
C3 80,jafont_10.tex,C3,80,128,9,1,U+B77C,라,hangulfont_3.tex.png:86,exact ff7K(PC).tbl byte position
C3 81,jafont_10.tex,C3,81,129,9,2,U+B77D,락,hangulfont_3.tex.png:87,exact ff7K(PC).tbl byte position
C3 82,jafont_10.tex,C3,82,130,9,3,U+B780,란,hangulfont_3.tex.png:88,exact ff7K(PC).tbl byte position
C3 83,jafont_10.tex,C3,83,131,9,4,U+B784,랄,hangulfont_3.tex.png:89,exact ff7K(PC).tbl byte position
C3 84,jafont_10.tex,C3,84,132,9,5,U+B78C,람,hangulfont_3.tex.png:8A,exact ff7K(PC).tbl byte position
C3 85,jafont_10.tex,C3,85,133,9,6,U+B78D,랍,hangulfont_3.tex.png:8B,exact ff7K(PC).tbl byte position
C3 86,jafont_10.tex,C3,86,134,9,7,U+B78F,랏,hangulfont_3.tex.png:8C,exact ff7K(PC).tbl byte position
C3 87,jafont_10.tex,C3,87,135,9,8,U+B790,랐,hangulfont_3.tex.png:8D,exact ff7K(PC).tbl byte position
C3 89,jafont_10.tex,C3,89,137,9,10,U+B791,랑,hangulfont_3.tex.png:8E,exact ff7K(PC).tbl byte position
C3 8A,jafont_10.tex,C3,8A,138,9,11,U+B792,랒,hangulfont_3.tex.png:8F,exact ff7K(PC).tbl byte position
C3 8B,jafont_10.tex,C3,8B,139,9,12,U+B796,랖,hangulfont_3.tex.png:90,exact ff7K(PC).tbl byte position
C3 8C,jafont_10.tex,C3,8C,140,9,13,U+B797,랗,hangulfont_3.tex.png:91,exact ff7K(PC).tbl byte position
C3 8D,jafont_10.tex,C3,8D,141,9,14,U+B798,래,hangulfont_3.tex.png:92,exact ff7K(PC).tbl byte position
C3 8E,jafont_10.tex,C3,8E,142,9,15,U+B799,랙,hangulfont_3.tex.png:93,exact ff7K(PC).tbl byte position
C3 8F,jafont_10.tex,C3,8F,143,9,16,U+B79C,랜,hangulfont_3.tex.png:94,exact ff7K(PC).tbl byte position
C3 90,jafont_10.tex,C3,90,144,10,1,U+B7A0,랠,hangulfont_3.tex.png:95,exact ff7K(PC).tbl byte position
C3 91,jafont_10.tex,C3,91,145,10,2,U+B7A8,램,hangulfont_3.tex.png:96,exact ff7K(PC).tbl byte position
C3 92,jafont_10.tex,C3,92,146,10,3,U+B7A9,랩,hangulfont_3.tex.png:97,exact ff7K(PC).tbl byte position
C3 93,jafont_10.tex,C3,93,147,10,4,U+B7AB,랫,hangulfont_3.tex.png:98,exact ff7K(PC).tbl byte position
C3 94,jafont_10.tex,C3,94,148,10,5,U+B7AC,랬,hangulfont_3.tex.png:99,exact ff7K(PC).tbl byte position
C3 95,jafont_10.tex,C3,95,149,10,6,U+B7AD,랭,hangulfont_3.tex.png:9A,exact ff7K(PC).tbl byte position
C3 96,jafont_10.tex,C3,96,150,10,7,U+B7B4,랴,hangulfont_3.tex.png:9B,exact ff7K(PC).tbl byte position
C3 97,jafont_10.tex,C3,97,151,10,8,U+B7B5,략,hangulfont_3.tex.png:9C,exact ff7K(PC).tbl byte position
C3 98,jafont_10.tex,C3,98,152,10,9,U+B7B8,랸,hangulfont_3.tex.png:9D,exact ff7K(PC).tbl byte position
C3 99,jafont_10.tex,C3,99,153,10,10,U+B7C7,럇,hangulfont_3.tex.png:9E,exact ff7K(PC).tbl byte position
C3 9A,jafont_10.tex,C3,9A,154,10,11,U+B7C9,량,hangulfont_3.tex.png:9F,exact ff7K(PC).tbl byte position
C3 9B,jafont_10.tex,C3,9B,155,10,12,U+B7EC,러,hangulfont_3.tex.png:A0,exact ff7K(PC).tbl byte position
C3 9C,jafont_10.tex,C3,9C,156,10,13,U+B7ED,럭,hangulfont_3.tex.png:A1,exact ff7K(PC).tbl byte position
C3 9E,jafont_10.tex,C3,9E,158,10,15,U+B7F0,런,hangulfont_3.tex.png:A2,exact ff7K(PC).tbl byte position
C3 9F,jafont_10.tex,C3,9F,159,10,16,U+B7F4,럴,hangulfont_3.tex.png:A3,exact ff7K(PC).tbl byte position
C3 A0,jafont_10.tex,C3,A0,160,11,1,U+B7FC,럼,hangulfont_3.tex.png:A4,exact ff7K(PC).tbl byte position
C3 A1,jafont_10.tex,C3,A1,161,11,2,U+B7FD,럽,hangulfont_3.tex.png:A5,exact ff7K(PC).tbl byte position
C3 A2,jafont_10.tex,C3,A2,162,11,3,U+B7FF,럿,hangulfont_3.tex.png:A6,exact ff7K(PC).tbl byte position
C3 A3,jafont_10.tex,C3,A3,163,11,4,U+B800,렀,hangulfont_3.tex.png:A7,exact ff7K(PC).tbl byte position
C3 A4,jafont_10.tex,C3,A4,164,11,5,U+B801,렁,hangulfont_3.tex.png:A8,exact ff7K(PC).tbl byte position
C3 A5,jafont_10.tex,C3,A5,165,11,6,U+B807,렇,hangulfont_3.tex.png:A9,exact ff7K(PC).tbl byte position
C3 A6,jafont_10.tex,C3,A6,166,11,7,U+B808,레,hangulfont_3.tex.png:AA,exact ff7K(PC).tbl byte position
C3 A7,jafont_10.tex,C3,A7,167,11,8,U+B809,렉,hangulfont_3.tex.png:AB,exact ff7K(PC).tbl byte position
C3 A8,jafont_10.tex,C3,A8,168,11,9,U+B80C,렌,hangulfont_3.tex.png:AC,exact ff7K(PC).tbl byte position
C3 A9,jafont_10.tex,C3,A9,169,11,10,U+B810,렐,hangulfont_3.tex.png:AD,exact ff7K(PC).tbl byte position
C3 AA,jafont_10.tex,C3,AA,170,11,11,U+B818,렘,hangulfont_3.tex.png:AE,exact ff7K(PC).tbl byte position
C3 AB,jafont_10.tex,C3,AB,171,11,12,U+B819,렙,hangulfont_3.tex.png:AF,exact ff7K(PC).tbl byte position
C3 AC,jafont_10.tex,C3,AC,172,11,13,U+B81B,렛,hangulfont_3.tex.png:B0,exact ff7K(PC).tbl byte position
C3 AD,jafont_10.tex,C3,AD,173,11,14,U+B81D,렝,hangulfont_3.tex.png:B1,exact ff7K(PC).tbl byte position
C3 AE,jafont_10.tex,C3,AE,174,11,15,U+B824,려,hangulfont_3.tex.png:B2,exact ff7K(PC).tbl byte position
C3 AF,jafont_10.tex,C3,AF,175,11,16,U+B825,력,hangulfont_3.tex.png:B3,exact ff7K(PC).tbl byte position
C3 B0,jafont_10.tex,C3,B0,176,12,1,U+B828,련,hangulfont_3.tex.png:B4,exact ff7K(PC).tbl byte position
C3 B1,jafont_10.tex,C3,B1,177,12,2,U+B82C,렬,hangulfont_3.tex.png:B5,exact ff7K(PC).tbl byte position
C3 B3,jafont_10.tex,C3,B3,179,12,4,U+B834,렴,hangulfont_3.tex.png:B6,exact ff7K(PC).tbl byte position
C3 B4,jafont_10.tex,C3,B4,180,12,5,U+B835,렵,hangulfont_3.tex.png:B7,exact ff7K(PC).tbl byte position
C3 B5,jafont_10.tex,C3,B5,181,12,6,U+B837,렷,hangulfont_3.tex.png:B8,exact ff7K(PC).tbl byte position
C3 B6,jafont_10.tex,C3,B6,182,12,7,U+B838,렸,hangulfont_3.tex.png:B9,exact ff7K(PC).tbl byte position
C3 B7,jafont_10.tex,C3,B7,183,12,8,U+B839,령,hangulfont_3.tex.png:BA,exact ff7K(PC).tbl byte position
C3 B8,jafont_10.tex,C3,B8,184,12,9,U+B840,례,hangulfont_3.tex.png:BB,exact ff7K(PC).tbl byte position
C3 B9,jafont_10.tex,C3,B9,185,12,10,U+B844,롄,hangulfont_3.tex.png:BC,exact ff7K(PC).tbl byte position
C3 BA,jafont_10.tex,C3,BA,186,12,11,U+B851,롑,hangulfont_3.tex.png:BD,exact ff7K(PC).tbl byte position
C3 BB,jafont_10.tex,C3,BB,187,12,12,U+B853,롓,hangulfont_3.tex.png:BE,exact ff7K(PC).tbl byte position
C3 BC,jafont_10.tex,C3,BC,188,12,13,U+B85C,로,hangulfont_3.tex.png:BF,exact ff7K(PC).tbl byte position
C3 BD,jafont_10.tex,C3,BD,189,12,14,U+B85D,록,hangulfont_3.tex.png:C0,exact ff7K(PC).tbl byte position
C3 BE,jafont_10.tex,C3,BE,190,12,15,U+B860,론,hangulfont_3.tex.png:C1,exact ff7K(PC).tbl byte position
C3 BF,jafont_10.tex,C3,BF,191,12,16,U+B864,롤,hangulfont_3.tex.png:C2,exact ff7K(PC).tbl byte position
C4 00,jafont_11.tex,C4,00,0,1,1,U+B86C,롬,hangulfont_3.tex.png:C3,exact ff7K(PC).tbl byte position
C4 01,jafont_11.tex,C4,01,1,1,2,U+B86D,롭,hangulfont_3.tex.png:C4,exact ff7K(PC).tbl byte position
C4 02,jafont_11.tex,C4,02,2,1,3,U+B86F,롯,hangulfont_3.tex.png:C5,exact ff7K(PC).tbl byte position
C4 03,jafont_11.tex,C4,03,3,1,4,U+B871,롱,hangulfont_3.tex.png:C6,exact ff7K(PC).tbl byte position
C4 04,jafont_11.tex,C4,04,4,1,5,U+B878,롸,hangulfont_3.tex.png:C7,exact ff7K(PC).tbl byte position
C4 05,jafont_11.tex,C4,05,5,1,6,U+B87C,롼,hangulfont_3.tex.png:C8,exact ff7K(PC).tbl byte position
C4 06,jafont_11.tex,C4,06,6,1,7,U+B88D,뢍,hangulfont_3.tex.png:C9,exact ff7K(PC).tbl byte position
C4 07,jafont_11.tex,C4,07,7,1,8,U+B8A8,뢨,hangulfont_3.tex.png:CA,exact ff7K(PC).tbl byte position
C4 08,jafont_11.tex,C4,08,8,1,9,U+B8B0,뢰,hangulfont_3.tex.png:CB,exact ff7K(PC).tbl byte position
C4 09,jafont_11.tex,C4,09,9,1,10,U+B8B4,뢴,hangulfont_3.tex.png:CC,exact ff7K(PC).tbl byte position
C4 0B,jafont_11.tex,C4,0B,11,1,12,U+B8B8,뢸,hangulfont_3.tex.png:CD,exact ff7K(PC).tbl byte position
C4 0C,jafont_11.tex,C4,0C,12,1,13,U+B8C0,룀,hangulfont_3.tex.png:CE,exact ff7K(PC).tbl byte position
C4 0D,jafont_11.tex,C4,0D,13,1,14,U+B8C1,룁,hangulfont_3.tex.png:CF,exact ff7K(PC).tbl byte position
C4 0E,jafont_11.tex,C4,0E,14,1,15,U+B8C3,룃,hangulfont_3.tex.png:D0,exact ff7K(PC).tbl byte position
C4 0F,jafont_11.tex,C4,0F,15,1,16,U+B8C5,룅,hangulfont_3.tex.png:D1,exact ff7K(PC).tbl byte position
C4 10,jafont_11.tex,C4,10,16,2,1,U+B8CC,료,hangulfont_3.tex.png:D2,exact ff7K(PC).tbl byte position
C4 11,jafont_11.tex,C4,11,17,2,2,U+B8D0,룐,hangulfont_3.tex.png:D3,exact ff7K(PC).tbl byte position
C4 12,jafont_11.tex,C4,12,18,2,3,U+B8D4,룔,hangulfont_3.tex.png:D4,exact ff7K(PC).tbl byte position
C4 13,jafont_11.tex,C4,13,19,2,4,U+B8DD,룝,hangulfont_3.tex.png:D5,exact ff7K(PC).tbl byte position
C4 14,jafont_11.tex,C4,14,20,2,5,U+B8DF,룟,hangulfont_3.tex.png:D6,exact ff7K(PC).tbl byte position
C4 15,jafont_11.tex,C4,15,21,2,6,U+B8E1,룡,hangulfont_3.tex.png:D7,exact ff7K(PC).tbl byte position
C4 16,jafont_11.tex,C4,16,22,2,7,U+B8E8,루,hangulfont_3.tex.png:D8,exact ff7K(PC).tbl byte position
C4 17,jafont_11.tex,C4,17,23,2,8,U+B8E9,룩,hangulfont_3.tex.png:D9,exact ff7K(PC).tbl byte position
C4 18,jafont_11.tex,C4,18,24,2,9,U+B8EC,룬,hangulfont_3.tex.png:DA,exact ff7K(PC).tbl byte position
C4 19,jafont_11.tex,C4,19,25,2,10,U+B8F0,룰,hangulfont_3.tex.png:DB,exact ff7K(PC).tbl byte position
C4 1A,jafont_11.tex,C4,1A,26,2,11,U+B8F8,룸,hangulfont_3.tex.png:DC,exact ff7K(PC).tbl byte position
C4 1B,jafont_11.tex,C4,1B,27,2,12,U+B8F9,룹,hangulfont_3.tex.png:DD,exact ff7K(PC).tbl byte position
C4 1C,jafont_11.tex,C4,1C,28,2,13,U+B8FB,룻,hangulfont_3.tex.png:DE,exact ff7K(PC).tbl byte position
C4 1D,jafont_11.tex,C4,1D,29,2,14,U+B8FD,룽,hangulfont_3.tex.png:DF,exact ff7K(PC).tbl byte position
C4 1E,jafont_11.tex,C4,1E,30,2,15,U+B904,뤄,hangulfont_3.tex.png:E0,exact ff7K(PC).tbl byte position
C4 20,jafont_11.tex,C4,20,32,3,1,U+B918,뤘,hangulfont_3.tex.png:E1,exact ff7K(PC).tbl byte position
C4 21,jafont_11.tex,C4,21,33,3,2,U+B920,뤠,hangulfont_3.tex.png:E2,exact ff7K(PC).tbl byte position
C4 22,jafont_11.tex,C4,22,34,3,3,U+B93C,뤼,hangulfont_3.tex.png:E3,exact ff7K(PC).tbl byte position
C4 23,jafont_11.tex,C4,23,35,3,4,U+B93D,뤽,hangulfont_3.tex.png:E4,exact ff7K(PC).tbl byte position
C4 24,jafont_11.tex,C4,24,36,3,5,U+B940,륀,hangulfont_3.tex.png:E5,exact ff7K(PC).tbl byte position
C4 25,jafont_11.tex,C4,25,37,3,6,U+B944,륄,hangulfont_3.tex.png:E6,exact ff7K(PC).tbl byte position
C4 26,jafont_11.tex,C4,26,38,3,7,U+B94C,륌,hangulfont_3.tex.png:E7,exact ff7K(PC).tbl byte position
C4 27,jafont_11.tex,C4,27,39,3,8,U+B94F,륏,hangulfont_3.tex.png:E8,exact ff7K(PC).tbl byte position
C4 28,jafont_11.tex,C4,28,40,3,9,U+B951,륑,hangulfont_3.tex.png:E9,exact ff7K(PC).tbl byte position
C4 29,jafont_11.tex,C4,29,41,3,10,U+B958,류,hangulfont_3.tex.png:EA,exact ff7K(PC).tbl byte position
C4 2A,jafont_11.tex,C4,2A,42,3,11,U+B959,륙,hangulfont_3.tex.png:EB,exact ff7K(PC).tbl byte position
C4 2B,jafont_11.tex,C4,2B,43,3,12,U+B95C,륜,hangulfont_3.tex.png:EC,exact ff7K(PC).tbl byte position
C4 2C,jafont_11.tex,C4,2C,44,3,13,U+B960,률,hangulfont_3.tex.png:ED,exact ff7K(PC).tbl byte position
C4 2D,jafont_11.tex,C4,2D,45,3,14,U+B968,륨,hangulfont_3.tex.png:EE,exact ff7K(PC).tbl byte position
C4 2E,jafont_11.tex,C4,2E,46,3,15,U+B969,륩,hangulfont_3.tex.png:EF,exact ff7K(PC).tbl byte position
C4 2F,jafont_11.tex,C4,2F,47,3,16,U+B96B,륫,hangulfont_3.tex.png:F0,exact ff7K(PC).tbl byte position
C4 30,jafont_11.tex,C4,30,48,4,1,U+B96D,륭,hangulfont_3.tex.png:F1,exact ff7K(PC).tbl byte position
C4 31,jafont_11.tex,C4,31,49,4,2,U+B974,르,hangulfont_3.tex.png:F2,exact ff7K(PC).tbl byte position
C4 32,jafont_11.tex,C4,32,50,4,3,U+B975,륵,hangulfont_3.tex.png:F3,exact ff7K(PC).tbl byte position
C4 33,jafont_11.tex,C4,33,51,4,4,U+B978,른,hangulfont_3.tex.png:F4,exact ff7K(PC).tbl byte position
C4 35,jafont_11.tex,C4,35,53,4,6,U+B97C,를,hangulfont_3.tex.png:F5,exact ff7K(PC).tbl byte position
C4 36,jafont_11.tex,C4,36,54,4,7,U+B984,름,hangulfont_3.tex.png:F6,exact ff7K(PC).tbl byte position
